study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp
PRJNA392905	SAMN07311959	SRX2978956	SRR5799489	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799489/SRR5799489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799489/SRR5799489_2.fastq.gz
PRJNA392905	SAMN07312116	SRX2978962	SRR5799495	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799495/SRR5799495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799495/SRR5799495_2.fastq.gz
PRJNA392905	SAMN07312114	SRX2978964	SRR5799497	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799497/SRR5799497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799497/SRR5799497_2.fastq.gz
PRJNA392905	SAMN07312110	SRX2978968	SRR5799501	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799501/SRR5799501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799501/SRR5799501_2.fastq.gz
PRJNA392905	SAMN07312002	SRX2978973	SRR5799506	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799506/SRR5799506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799506/SRR5799506_2.fastq.gz
PRJNA392905	SAMN07312001	SRX2978974	SRR5799507	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799507/SRR5799507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799507/SRR5799507_2.fastq.gz
PRJNA392905	SAMN07311998	SRX2978977	SRR5799510	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799510/SRR5799510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799510/SRR5799510_2.fastq.gz
PRJNA392905	SAMN07311990	SRX2978985	SRR5799518	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799518/SRR5799518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799518/SRR5799518_2.fastq.gz
PRJNA392905	SAMN07311982	SRX2978993	SRR5799526	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799526/SRR5799526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799526/SRR5799526_2.fastq.gz
PRJNA392905	SAMN07311981	SRX2978994	SRR5799527	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799527/SRR5799527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799527/SRR5799527_2.fastq.gz
PRJNA392905	SAMN07311973	SRX2979002	SRR5799535	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799535/SRR5799535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799535/SRR5799535_2.fastq.gz
PRJNA392905	SAMN07312027	SRX2979006	SRR5799539	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799539/SRR5799539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799539/SRR5799539_2.fastq.gz
PRJNA392905	SAMN07312026	SRX2979010	SRR5799543	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799543/SRR5799543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799543/SRR5799543_2.fastq.gz
PRJNA392905	SAMN07312025	SRX2979011	SRR5799544	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799544/SRR5799544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799544/SRR5799544_2.fastq.gz
PRJNA392905	SAMN07312018	SRX2979015	SRR5799548	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799548/SRR5799548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799548/SRR5799548_2.fastq.gz
PRJNA392905	SAMN07312012	SRX2979021	SRR5799554	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799554/SRR5799554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799554/SRR5799554_2.fastq.gz
PRJNA392905	SAMN07312009	SRX2979024	SRR5799557	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799557/SRR5799557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799557/SRR5799557_2.fastq.gz
PRJNA392905	SAMN07312008	SRX2979025	SRR5799558	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799558/SRR5799558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799558/SRR5799558_2.fastq.gz
PRJNA392905	SAMN07312007	SRX2979026	SRR5799559	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799559/SRR5799559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799559/SRR5799559_2.fastq.gz
PRJNA392905	SAMN10416994	SRX5006270	SRR8186434	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/004/SRR8186434/SRR8186434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/004/SRR8186434/SRR8186434_2.fastq.gz
PRJNA392905	SAMN10416992	SRX5006272	SRR8186436	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/006/SRR8186436/SRR8186436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR818/006/SRR8186436/SRR8186436_2.fastq.gz
